날짜	직업	등수	참가자	덱코드	대회코드	카드	에볼브
2026-03-20	ナイトメア	3	14	501FR	1499520	{'BP06-084': 3, 'BP07-069': 3, 'BP07-072': 1, 'BP07-075': 3, 'BP07-076': 3, 'BP07-116': 3, 'BP11-075': 2, 'BP12-075': 2, 'BP12-079': 3, 'BP12-082': 3, 'BP17-076': 3, 'BP17-079': 2, 'BP17-080': 3, 'BP17-083': 3, 'BP17-113': 3}	{'BP07-070': 3, 'BP07-077': 3, 'BP17-078': 2, 'BP17-114': 2}
2026-03-20	ナイトメア	4	14	17X4A	1499520	{'BP05-069': 3, 'BP05-075': 3, 'BP05-078': 3, 'BP08-084': 3, 'BP10-080': 3, 'BP11-072': 2, 'BP12-079': 1, 'BP13-073': 2, 'BP13-087': 3, 'BP15-076': 3, 'BP15-086': 3, 'BP15-090': 3, 'BP15-113': 3, 'BP16-118': 2, 'BP17-074': 3}	{'BP11-073': 2, 'BP15-077': 2, 'BP15-114': 2, 'BP16-119': 2, 'BP17-075': 2}
2026-03-20	プリンセスコネクト！Re:Dive	5	14	XH9D	1499520	{'CP04-003': 3, 'CP04-018': 3, 'CP04-037': 3, 'CP04-039': 3, 'CP04-041': 1, 'CP04-044': 3, 'CP04-047': 3, 'CP04-048': 3, 'CP04-049': 2, 'CP04-053': 3, 'CP04-054': 3, 'CP04-055': 3, 'CP04-062': 3, 'CP04-073': 1, 'CP04-118': 3}	{'CP04-038': 3, 'CP04-042': 1, 'CP04-050': 2, 'CP04-056': 3, 'CP04-074': 1}
2026-03-20	ロイヤル	6	14	5RKX9	1499520	{'BP05-018': 3, 'BP05-025': 1, 'BP05-029': 3, 'BP05-033': 3, 'BP05-034': 3, 'BP06-028': 3, 'BP11-018': 3, 'BP15-020': 3, 'BP15-024': 3, 'BP15-026': 3, 'BP15-028': 3, 'BP15-035': 3, 'BP15-113': 3, 'BP18-026': 3}	{'BP05-019': 3, 'BP15-025': 2, 'BP15-029': 3, 'BP15-114': 2}
2026-03-20	プリンセスコネクト！Re:Dive	7	14	3PMQ2	1499520	{'CP04-003': 3, 'CP04-018': 3, 'CP04-037': 2, 'CP04-039': 3, 'CP04-041': 2, 'CP04-044': 3, 'CP04-047': 3, 'CP04-048': 3, 'CP04-049': 2, 'CP04-053': 3, 'CP04-054': 3, 'CP04-055': 3, 'CP04-062': 3, 'CP04-073': 1, 'CP04-118': 3}	{'CP04-038': 2, 'CP04-042': 2, 'CP04-050': 2, 'CP04-056': 3, 'CP04-074': 1}
2026-03-20	ナイトメア	8	14	6G6WY	1499520	{'BP01-110': 2, 'BP03-076': 2, 'BP07-076': 3, 'BP09-071': 2, 'BP11-069': 1, 'BP11-071': 3, 'BP11-074': 2, 'BP11-075': 3, 'BP11-076': 3, 'BP12-071': 2, 'BP13-077': 3, 'BP14-070': 3, 'BP16-075': 3, 'BP16-078': 3, 'BP17-073': 3, 'BP17-081': 2}	{'BP11-070': 1, 'BP11-077': 3, 'BP14-071': 2, 'BP16-080': 2, 'BP18-078': 2}
2026-03-20	ロイヤル	1	29	2JG55	1516408	{'BP06-019': 3, 'BP06-024': 2, 'BP07-022': 3, 'BP09-018': 3, 'BP11-018': 3, 'BP11-027': 3, 'BP11-031': 3, 'BP13-029': 3, 'BP14-024': 3, 'BP15-023': 3, 'BP16-019': 3, 'BP16-031': 2, 'BP17-019': 3, 'BP18-023': 3}	{'BP06-020': 2, 'BP07-023': 2, 'BP09-019': 2, 'BP16-020': 2, 'BP16-032': 2}
2026-03-20	ロイヤル	2	29	2FB4T	1516408	{'BP05-018': 3, 'BP05-033': 3, 'BP05-034': 3, 'BP06-028': 3, 'BP10-031': 3, 'BP11-018': 3, 'BP15-020': 3, 'BP15-024': 3, 'BP15-026': 3, 'BP15-035': 3, 'BP15-113': 3, 'BP18-026': 3, 'CP03-040': 2, 'ECP01-010': 2}	{'BP05-019': 3, 'BP10-032': 2, 'BP15-025': 2, 'BP15-114': 2, 'ECP01-011': 1}
2026-03-20	プリンセスコネクト！Re:Dive	3	29	6K9ET	1516408	{'CP04-003': 3, 'CP04-018': 3, 'CP04-037': 2, 'CP04-039': 3, 'CP04-041': 3, 'CP04-044': 3, 'CP04-047': 3, 'CP04-048': 3, 'CP04-049': 2, 'CP04-053': 2, 'CP04-062': 3, 'CP04-073': 1, 'CP04-118': 3, 'PR-511': 3, 'PCS01-021': 3}	{'CP04-038': 2, 'CP04-042': 2, 'CP04-050': 2, 'CP04-056': 3, 'CP04-074': 1}
2026-03-20	ウィッチ	4	29	2AZ7H	1516408	{'BP07-035': 3, 'BP07-037': 2, 'BP07-041': 3, 'BP07-103': 2, 'BP07-116': 3, 'BP12-035': 3, 'BP12-041': 2, 'BP12-049': 3, 'BP17-040': 3, 'BP17-041': 3, 'BP17-043': 2, 'BP17-044': 3, 'BP17-047': 1, 'BP17-048': 3, 'BP17-052': 1, 'BP17-113': 3}	{'BP07-036': 3, 'BP12-036': 2, 'BP17-042': 3, 'BP17-114': 2}
2026-03-20	エルフ	5	29	238TV	1516408	{'BP01-015': 3, 'BP04-010': 3, 'BP05-109': 2, 'BP10-005': 3, 'BP11-003': 3, 'BP15-004': 2, 'BP16-007': 1, 'BP16-118': 3, 'BP17-001': 3, 'BP18-004': 2, 'BP18-007': 1, 'BP18-019': 3, 'CP02-006': 2, 'CP04-001': 3, 'ECP02-004': 3, 'SP01-045': 3}	{'BP04-011': 2, 'BP10-006': 2, 'BP15-005': 2, 'BP16-119': 2, 'CP04-002': 2}
2026-03-20	プリンセスコネクト！Re:Dive	6	29	5EU19	1516408	{'CP04-001': 3, 'CP04-004': 3, 'CP04-007': 3, 'CP04-015': 1, 'CP04-016': 2, 'CP04-018': 2, 'CP04-021': 1, 'CP04-022': 3, 'CP04-041': 3, 'CP04-073': 2, 'CP04-075': 3, 'CP04-080': 3, 'CP04-089': 3, 'CP04-095': 3, 'CP04-116': 2, 'CP04-118': 3}	{'CP04-002': 3, 'CP04-042': 2, 'CP04-074': 1, 'CP04-096': 3, 'CP04-117': 1}
2026-03-20	ロイヤル	7	29	4WXUK	1516408	{'BP05-033': 3, 'BP07-022': 2, 'BP14-018': 3, 'BP14-022': 3, 'BP14-025': 2, 'BP14-026': 3, 'BP14-030': 3, 'BP14-034': 3, 'BP14-035': 3, 'BP14-115': 3, 'BP14-118': 3, 'BP16-022': 3, 'BP18-026': 3, 'ECP01-010': 3}	{'BP07-023': 1, 'BP14-019': 2, 'BP14-023': 2, 'BP14-027': 2, 'BP14-031': 2, 'ECP01-011': 1}
2026-03-20	プリンセスコネクト！Re:Dive	8	29	2JGX0	1516408	{'CP04-003': 3, 'CP04-018': 3, 'CP04-036': 2, 'CP04-037': 2, 'CP04-039': 3, 'CP04-041': 1, 'CP04-044': 3, 'CP04-047': 3, 'CP04-048': 3, 'CP04-049': 2, 'CP04-053': 2, 'CP04-054': 3, 'CP04-055': 3, 'CP04-062': 3, 'CP04-073': 1, 'CP04-118': 3}	{'CP04-020': 1, 'CP04-038': 2, 'CP04-042': 1, 'CP04-050': 2, 'CP04-056': 3, 'CP04-074': 1}
2026-03-20	エルフ	1	18	41EKH	1519353	{'BP01-015': 3, 'BP02-110': 3, 'BP05-017': 3, 'BP18-001': 3, 'BP18-003': 3, 'BP18-005': 3, 'BP18-009': 2, 'BP18-013': 3, 'BP18-014': 2, 'BP18-117': 3, 'BP18-120': 3, 'BP18-123': 3, 'BP18-126': 3, 'EBD01-007': 3}	{'BP02-111': 1, 'BP18-006': 3, 'BP18-010': 1, 'BP18-015': 1, 'BP18-118': 2, 'BP18-U01': 2}
2026-03-20	エルフ	2	18	3GF7H	1519353	{'BP01-015': 3, 'BP04-010': 3, 'BP05-109': 3, 'BP10-005': 3, 'BP11-003': 3, 'BP16-009': 2, 'BP16-118': 3, 'BP17-001': 3, 'BP18-004': 3, 'BP18-019': 2, 'CP02-006': 3, 'CP04-001': 3, 'ECP02-004': 3, 'SP01-045': 3}	{'BP04-011': 2, 'BP10-006': 2, 'BP16-010': 2, 'BP16-119': 2, 'CP04-002': 2}
2026-03-20	ナイトメア	3	18	UH9R	1519353	{'BP03-077': 2, 'BP05-069': 3, 'BP05-075': 3, 'BP05-078': 3, 'BP08-084': 3, 'BP10-080': 3, 'BP11-072': 1, 'BP12-079': 2, 'BP13-073': 3, 'BP13-087': 3, 'BP15-076': 3, 'BP15-086': 3, 'BP15-090': 3, 'BP15-113': 2, 'BP17-074': 3}	{'BP11-073': 1, 'BP15-077': 3, 'BP15-114': 2, 'BP17-075': 3}
2026-03-20	ウィッチ	4	18	29NWE	1519353	{'BP07-035': 3, 'BP07-037': 1, 'BP07-041': 2, 'BP07-103': 2, 'BP07-116': 3, 'BP12-035': 3, 'BP12-041': 3, 'BP12-049': 3, 'BP17-040': 3, 'BP17-041': 3, 'BP17-043': 2, 'BP17-044': 3, 'BP17-047': 3, 'BP17-048': 3, 'BP17-113': 3}	{'BP07-036': 3, 'BP12-036': 3, 'BP17-042': 3, 'BP17-114': 1}
2026-03-20	エルフ	5	18	10MPH	1519353	{'BP02-110': 3, 'BP15-004': 3, 'BP16-117': 2, 'BP18-001': 3, 'BP18-003': 3, 'BP18-005': 3, 'BP18-008': 1, 'BP18-009': 3, 'BP18-013': 3, 'BP18-014': 2, 'BP18-117': 3, 'BP18-120': 3, 'BP18-123': 3, 'BP18-126': 3, 'EBD01-007': 2}	{'BP02-111': 1, 'BP15-005': 1, 'BP18-006': 2, 'BP18-010': 1, 'BP18-015': 1, 'BP18-118': 2, 'BP18-U01': 2}
2026-03-20	ロイヤル	6	18	50BBM	1519353	{'BP05-018': 3, 'BP05-029': 3, 'BP05-033': 3, 'BP05-034': 3, 'BP06-028': 3, 'BP11-034': 1, 'BP15-020': 3, 'BP15-024': 3, 'BP15-026': 3, 'BP15-028': 3, 'BP15-035': 3, 'BP15-113': 3, 'BP18-026': 3, 'BP11-SP01': 3}	{'BP05-019': 3, 'BP15-025': 2, 'BP15-029': 3, 'BP15-114': 2}
2026-03-20	ウィッチ	7	18	2FCR9	1519353	{'BP07-035': 3, 'BP07-037': 1, 'BP07-041': 3, 'BP07-103': 1, 'BP07-116': 3, 'BP12-035': 3, 'BP12-041': 3, 'BP12-049': 3, 'BP17-040': 3, 'BP17-041': 3, 'BP17-043': 2, 'BP17-044': 3, 'BP17-047': 3, 'BP17-048': 3, 'BP17-113': 3}	{'BP07-036': 3, 'BP12-036': 3, 'BP17-042': 3, 'BP17-114': 1}
2026-03-20	ロイヤル	8	18	42VTV	1519353	{'BP05-018': 3, 'BP05-025': 1, 'BP05-029': 3, 'BP05-033': 3, 'BP05-034': 3, 'BP06-028': 3, 'BP10-031': 1, 'BP15-020': 3, 'BP15-024': 3, 'BP15-026': 3, 'BP15-028': 3, 'BP15-035': 3, 'BP15-113': 3, 'BP18-026': 2, 'BP11-SP01': 3}	{'BP05-019': 3, 'BP10-032': 1, 'BP15-025': 2, 'BP15-029': 2, 'BP15-114': 2}
2026-03-21	プリンセスコネクト！Re:Dive	1	9	7JA6F	1481024	{'CP04-001': 3, 'CP04-004': 3, 'CP04-007': 3, 'CP04-015': 2, 'CP04-016': 2, 'CP04-021': 1, 'CP04-022': 3, 'CP04-041': 3, 'CP04-073': 2, 'CP04-075': 3, 'CP04-080': 3, 'CP04-089': 3, 'CP04-095': 3, 'CP04-116': 3, 'CP04-118': 3}	{'CP04-002': 3, 'CP04-042': 2, 'CP04-074': 1, 'CP04-096': 3, 'CP04-117': 1}
2026-03-21	ウマ娘 プリティーダービー	2	9	708MM	1481024	{'CP01-059': 3, 'CP01-070': 3, 'ECP01-001': 3, 'ECP01-004': 3, 'ECP01-005': 3, 'ECP01-007': 3, 'ECP01-009': 3, 'ECP01-013': 3, 'ECP01-016': 1, 'ECP01-019': 3, 'ECP01-041': 3, 'ECP01-043': 1, 'ECP01-044': 1, 'ECP01-049': 3, 'ECP01-053': 1, 'ECP01-SP16': 3}	{'ECP01-002': 2, 'ECP01-020': 3, 'CSD01-032': 5}
2026-03-21	ナイトメア	3	9	1WFWP	1481024	{'BP01-110': 2, 'BP03-076': 2, 'BP07-076': 3, 'BP09-071': 2, 'BP11-069': 1, 'BP11-071': 3, 'BP11-074': 2, 'BP11-075': 3, 'BP11-076': 3, 'BP12-071': 2, 'BP13-077': 3, 'BP14-070': 3, 'BP16-075': 3, 'BP16-078': 3, 'BP17-073': 3, 'BP17-081': 2}	{'BP11-070': 1, 'BP11-077': 3, 'BP14-071': 2, 'BP16-080': 2, 'BP18-078': 2}
2026-03-21	ウィッチ	4	9	XEB3	1481024	{'BP07-035': 3, 'BP07-037': 1, 'BP07-041': 3, 'BP07-103': 1, 'BP07-116': 3, 'BP12-035': 3, 'BP12-041': 3, 'BP12-049': 3, 'BP17-040': 3, 'BP17-041': 3, 'BP17-043': 2, 'BP17-044': 3, 'BP17-047': 3, 'BP17-048': 3, 'BP17-113': 3}	{'BP07-036': 3, 'BP12-036': 3, 'BP17-042': 3, 'BP17-114': 1}
2026-03-21	ナイトメア	5	9	59XYP	1481024	{'BP03-077': 2, 'BP05-069': 3, 'BP05-075': 3, 'BP05-078': 3, 'BP08-084': 3, 'BP10-080': 3, 'BP12-079': 2, 'BP13-073': 3, 'BP13-087': 3, 'BP15-076': 3, 'BP15-086': 3, 'BP15-090': 3, 'BP15-113': 3, 'BP17-074': 3}	{'BP15-077': 3, 'BP15-114': 2, 'BP17-075': 3}
2026-03-21	ドラゴン	6	9	3HBJ3	1481024	{'BP10-068': 3, 'BP13-054': 3, 'BP13-059': 3, 'BP13-061': 3, 'BP17-055': 3, 'BP17-062': 2, 'BP18-060': 3, 'BP18-066': 3, 'BP18-070': 3, 'BP18-071': 2, 'SD04-002': 3, 'PR-492': 3, 'DSD01b-001': 2, 'DSD01b-003': 3, 'DSD01b-013': 1}	{'BP13-055': 2, 'BP13-062': 3, 'BP18-059': 2, 'BP18-067': 1, 'DSD01b-002': 2}
2026-03-21	ウィッチ	7	9	67M3R	1481024	{'BP05-040': 1, 'BP07-035': 3, 'BP07-037': 1, 'BP07-041': 3, 'BP07-103': 1, 'BP07-116': 3, 'BP12-035': 3, 'BP12-041': 2, 'BP12-049': 3, 'BP17-040': 3, 'BP17-041': 3, 'BP17-043': 2, 'BP17-044': 3, 'BP17-047': 3, 'BP17-048': 3, 'BP17-113': 3}	{'BP07-036': 3, 'BP12-036': 3, 'BP17-042': 3, 'BP17-114': 1}
2026-03-21	エルフ	8	9	22QWK	1481024	{'BP01-015': 3, 'BP04-010': 3, 'BP05-109': 3, 'BP10-005': 3, 'BP11-003': 3, 'BP15-004': 2, 'BP16-007': 1, 'BP16-009': 3, 'BP17-001': 3, 'BP18-004': 3, 'BP18-019': 3, 'CP02-006': 2, 'CP04-001': 2, 'ECP02-004': 3, 'SP01-045': 3}	{'BP04-011': 3, 'BP10-006': 3, 'BP15-005': 2, 'BP16-010': 2}
2026-03-21	ドラゴン	1	27	3N9YQ	1496803	{'BP10-068': 3, 'BP13-054': 3, 'BP13-059': 2, 'BP13-060': 1, 'BP13-061': 3, 'BP13-067': 2, 'BP16-056': 1, 'BP17-055': 3, 'BP17-062': 2, 'BP18-060': 3, 'BP18-066': 2, 'BP18-070': 3, 'BP18-071': 1, 'SD04-002': 3, 'PR-492': 3, 'DSD01b-001': 2, 'DSD01b-003': 3}	{'BP13-055': 2, 'BP13-062': 3, 'BP18-059': 2, 'BP18-067': 1, 'DSD01b-002': 2}
2026-03-21	エルフ	2	27	5BLZM	1496803	{'BP01-015': 1, 'BP02-110': 3, 'BP04-005': 1, 'BP15-004': 3, 'BP18-001': 3, 'BP18-003': 3, 'BP18-005': 3, 'BP18-009': 2, 'BP18-013': 2, 'BP18-014': 2, 'BP18-116': 1, 'BP18-117': 3, 'BP18-119': 3, 'BP18-120': 3, 'BP18-123': 1, 'BP18-126': 3, 'EBD01-007': 3}	{'BP02-111': 1, 'BP15-005': 1, 'BP18-006': 2, 'BP18-010': 1, 'BP18-015': 1, 'BP18-118': 2, 'BP18-U01': 2}
2026-03-21	ウマ娘 プリティーダービー	3	27	7D043	1496803	{'CP01-059': 3, 'CP01-070': 3, 'ECP01-001': 3, 'ECP01-004': 3, 'ECP01-005': 3, 'ECP01-007': 3, 'ECP01-009': 3, 'ECP01-013': 3, 'ECP01-019': 2, 'ECP01-022': 2, 'ECP01-031': 3, 'ECP01-041': 2, 'ECP01-044': 1, 'ECP01-049': 3, 'ECP01-053': 3}	{'ECP01-002': 3, 'ECP01-020': 2, 'ECP01-058': 5}
2026-03-21	プリンセスコネクト！Re:Dive	4	27	50GXM	1496803	{'CP04-001': 3, 'CP04-003': 1, 'CP04-007': 3, 'CP04-016': 2, 'CP04-041': 2, 'CP04-055': 3, 'CP04-058': 3, 'CP04-059': 2, 'CP04-062': 3, 'CP04-065': 1, 'CP04-066': 1, 'CP04-089': 3, 'CP04-112': 2, 'CP04-115': 3, 'CP04-118': 2, 'PR-505': 3, 'PCS01-026': 3}	{'CP04-002': 3, 'CP04-042': 1, 'CP04-056': 2, 'CP04-060': 2, 'CP04-064': 2}
2026-03-21	ドラゴン	5	27	3M4YX	1496803	{'BP10-068': 3, 'BP13-054': 3, 'BP13-059': 2, 'BP13-061': 3, 'BP13-067': 2, 'BP16-056': 2, 'BP17-055': 3, 'BP17-062': 1, 'BP18-060': 3, 'BP18-066': 3, 'BP18-070': 3, 'BP18-071': 1, 'SD04-002': 3, 'PR-492': 3, 'DSD01b-001': 2, 'DSD01b-003': 3}	{'BP13-055': 2, 'BP13-062': 3, 'BP18-059': 3, 'BP18-067': 1, 'DSD01b-002': 1}
2026-03-21	ロイヤル	6	27	10W1V	1496803	{'BP05-018': 3, 'BP05-025': 1, 'BP05-029': 3, 'BP05-033': 3, 'BP05-034': 3, 'BP06-028': 3, 'BP15-020': 3, 'BP15-024': 3, 'BP15-026': 3, 'BP15-028': 3, 'BP15-035': 3, 'BP15-113': 3, 'BP18-026': 3, 'BP11-SP01': 3}	{'BP05-019': 3, 'BP15-025': 2, 'BP15-029': 3, 'BP15-114': 2}
2026-03-21	ドラゴン	7	27	2FJQK	1496803	{'BP01-098': 3, 'BP06-056': 3, 'BP06-061': 3, 'BP09-055': 3, 'BP09-058': 3, 'BP10-109': 3, 'BP11-058': 3, 'BP15-058': 3, 'BP15-065': 2, 'BP15-113': 3, 'BP18-061': 3, 'CP04-055': 2, 'CP04-062': 3, 'SD04-002': 3}	{'BP09-056': 2, 'BP10-110': 1, 'BP15-059': 3, 'BP15-114': 3, 'CP04-056': 1}
2026-03-21	ドラゴン	8	27	728FD	1496803	{'BP07-055': 3, 'BP10-054': 1, 'BP11-054': 3, 'BP11-058': 3, 'BP11-059': 3, 'BP11-062': 2, 'BP11-066': 3, 'BP13-056': 2, 'BP15-074': 3, 'BP16-057': 3, 'BP17-066': 3, 'BP18-061': 2, 'BP18-116': 3, 'SD04-002': 3, 'SD08-011': 3}	{'BP10-055': 2, 'BP11-060': 2, 'BP16-058': 3, 'BP16-119': 3}
2026-03-21	ロイヤル	1	9	2MX4B	1503154	{'BP06-019': 3, 'BP07-022': 3, 'BP08-034': 3, 'BP09-018': 3, 'BP11-018': 3, 'BP11-031': 3, 'BP14-024': 3, 'BP15-023': 3, 'BP15-027': 1, 'BP16-019': 3, 'BP16-031': 3, 'BP17-019': 3, 'BP18-023': 3, 'SP01-010': 3}	{'BP06-020': 2, 'BP07-023': 2, 'BP09-019': 2, 'BP16-020': 2, 'BP16-032': 2}
2026-03-21	プリンセスコネクト！Re:Dive	2	9	4Q3F9	1503154	{'CP04-003': 3, 'CP04-018': 3, 'CP04-037': 2, 'CP04-039': 3, 'CP04-041': 3, 'CP04-044': 3, 'CP04-045': 1, 'CP04-047': 3, 'CP04-048': 3, 'CP04-049': 1, 'CP04-053': 3, 'CP04-062': 3, 'CP04-090': 2, 'CP04-118': 2, 'PR-511': 2, 'PCS01-021': 3}	{'CP04-038': 2, 'CP04-042': 3, 'CP04-046': 1, 'CP04-050': 2, 'CP04-056': 2}
2026-03-21	ドラゴン	3	9	25V4F	1503154	{'BP02-062': 1, 'BP07-055': 3, 'BP10-054': 1, 'BP11-058': 3, 'BP11-059': 3, 'BP11-062': 3, 'BP11-068': 2, 'BP15-060': 3, 'BP15-074': 3, 'BP15-113': 2, 'BP16-057': 3, 'BP16-067': 3, 'BP16-072': 3, 'BP16-118': 1, 'SD08-011': 3, 'SD08-018': 3}	{'BP10-055': 1, 'BP15-061': 3, 'BP15-114': 2, 'BP16-058': 3, 'BP16-119': 1}
2026-03-21	ロイヤル	4	9	3U70F	1503154	{'BP05-033': 1, 'BP08-034': 2, 'BP18-020': 3, 'BP18-022': 3, 'BP18-024': 3, 'BP18-026': 3, 'BP18-027': 3, 'BP18-028': 3, 'BP18-031': 3, 'BP18-032': 3, 'BP18-117': 3, 'BP18-119': 2, 'BP18-120': 1, 'BP18-123': 3, 'BP18-126': 3, 'ECP01-010': 1}	{'BP18-021': 3, 'BP18-025': 2, 'BP18-029': 2, 'BP18-033': 1, 'BP18-118': 1, 'ECP01-011': 1}
2026-03-21	ロイヤル	5	9	143K1	1503154	{'BP06-019': 3, 'BP07-022': 3, 'BP08-023': 2, 'BP08-034': 3, 'BP09-018': 3, 'BP11-018': 3, 'BP11-027': 2, 'BP11-031': 2, 'BP13-029': 3, 'BP15-023': 3, 'BP15-027': 1, 'BP16-019': 3, 'BP16-031': 1, 'BP17-019': 3, 'BP18-023': 2, 'SP01-010': 3}	{'BP06-020': 3, 'BP07-023': 2, 'BP09-019': 2, 'BP16-020': 2, 'BP16-032': 1}
2026-03-21	ビショップ	6	9	37B27	1503154	{'BP01-131': 3, 'BP01-139': 3, 'BP01-140': 3, 'BP02-091': 1, 'BP06-105': 2, 'BP08-092': 2, 'BP09-088': 3, 'BP09-095': 3, 'BP14-098': 1, 'BP15-113': 3, 'BP16-093': 3, 'BP16-104': 3, 'BP18-097': 3, 'BP18-105': 3, 'BP18-110': 1, 'ECP01-048': 3}	{'BP15-114': 3, 'BP18-098': 3, 'BP18-106': 3, 'BP18-111': 1}
